CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE
"5403030",2012,20120131,1942,20120119,0545,"38185","2142","4","5","7","1942","0","0","0","","0","21TL69","VANOWEN ST","BERQUIST AV","72","W","N","A","-","N","",,,"","",,"","","","Y","1",1,0,3,"B","-","22",,"","N","C","-","A","A","H","-","B","A","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-",,
"5403038",2012,20120131,1942,20120105,1145,"36256","1211","4","5","7","1942","0","0","0","L","0","12TL41","CRENSHAW BL","54TH ST","0","","Y","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","09",21802,"A","N","D","C","A","A","H","-","A","A","0","","","","","Y","","A","07",0,0,0,0,0,0,0,0,0,"-","-",,
"5403042",2012,20120131,1942,20120103,0045,"32896","0636","2","5","7","1942","0","0","0","F","0","7T23","YUCCA ST","VINE ST","0","","Y","A","-","N","",,,"","",,"","","","Y","1",1,2,2,"A","-","01",23152,"A","N","D","C","A","A","H","-","C","A","0","","","","","Y","Y","A","01",2,0,0,0,0,0,0,0,0,"-","-",,
"5403084",2012,20120202,1942,20120118,1405,"31255","0826","3","5","7","1942","0","0","0","H","0","6TL2","SALTAIR TER","SALTAIR AV","41","E","N","A","-","N","",,,"","",,"","","","N","1",1,0,2,"A","-","11",21954,"A","N","G","B","D","A","H","-","A","D","0","Y","","","","Y","","N","60",0,0,0,1,0,0,0,0,0,"-","-",,
"5403154",2012,20120210,1942,20120118,1935,"37740","1265","3","5","7","1942","0","0","0","L","0","18T23","MANCHESTER AV","DENKER AV","355","E","N","A","-","N","",,,"","",,"","","","Y","1",1,4,3,"A","-","05",21651,"A","N","A","E","A","A","H","-","C","A","0","","","","","Y","","A","01",1,2,1,0,0,0,0,0,0,"-","-",,
"5403178",2012,20120214,1942,20120124,2200,"36399","1881","2","5","7","1942","0","0","0","R","0","18T23","REDONDO BEACH BL","AINSWORTH AV","273","E","N","A","-","N","",,,"","",,"","","","Y","1",1,0,1,"A","-","03",22350,"","N","E","I","A","A","H","-","C","D","0","","","","","Y","Y","D","22",0,0,0,0,0,0,0,0,0,"-","-",,
"5403207",2012,20120216,1942,20120111,1235,"36256","0397","3","5","7","1942","0","0","0","C","0","3TL3","NORMANDIE AV","VERNON AV","439","N","N","B","-","N","",,,"","",,"","","","Y","1",1,1,5,"A","-","03",22350,"","F","A","C","A","A","H","-","A","D","0","","","","","Y","","-","99",0,0,1,0,0,0,0,0,0,"-","-",,
"5403210",2012,20120216,1942,20120204,0150,"25907","1701","6","5","7","1942","0","0","0","Q","0","15T43","TAMPA AV","SINGING HILLS DR","1500","S","N","A","-","N","",,,"","",,"","","","Y","1",1,1,1,"A","-","03",22350,"","N","E","I","A","A","H","-","C","-","0","","","","","Y","","A","01",0,0,1,0,0,0,0,0,0,"-","-",,
"5403258",2012,20120511,1942,20120205,1815,"31426","1177","7","5","7","1942","0","0","0","K","0","1T11","AVENUE 26","HURON ST","30","W","N","A","-","N","",,,"","",,"","","","N","1",1,0,2,"A","-","11",21954,"A","N","G","B","D","A","H","-","C","D","0","Y","","","","Y","","N","60",0,0,0,1,0,0,0,0,0,"-","-",,
"5403262",2012,20120306,1942,20120212,0005,"40063","1101","7","5","7","1942","0","0","0","K","0","4T43W3","FOREST LAWN DR","MEMORIAL DR","583","E","N","B","-","N","",,,"","",,"","","","Y","1",1,0,3,"A","-","11",21954,"A","F","G","B","D","A","H","-","D","D","0","Y","","","","Y","","N","60",0,0,0,1,0,0,0,0,0,"-","-",,
